word,count,fraction
the,1900629,0.055068400132954866
of,1010635,0.02928191276065389
in,820698,0.02377872054583814
and,738467,0.021396177918458985
a,645828,0.01871207622374802
is,485052,0.014053788309706957
to,462786,0.0134086581989066
was,352033,0.010199725514029567
for,220842,0.006398626782061106
it,219379,0.006356238146827974
on,210823,0.0061083385138445976
he,208769,0.006048826376613666
as,188834,0.005471234139175188
by,174596,0.005058705507289107
from,151782,0.0043976977668867285
with,148511,0.0043029245434775855
that,142034,0.004115261392141292
0,139698,0.004047578649896181
are,139261,0.004034917109501869
at,135825,0.003935363212946133
1,123722,0.0035846935941993108
an,116996,0.003389815972478157
2,111647,0.0032348352411985777
his,108780,0.0031517674235544287
references,105610,0.0030599205515865345
other,101878,0.002951790417143575
or,96530,0.002796838659640642
they,91148,0.0026409017937317437
this,84305,0.0024426342401430053
also,79922,0.002315642177103485
be,75513,0.002187896795871167
has,75337,0.002182797411181467
american,75262,0.0021806243779330155
3,75006,0.0021732070911116333
were,71756,0.0020790423170120574
people,67576,0.0019579319306316794
first,67559,0.001957439376428697
not,66703,0.001932637823619701
one,66190,0.0019177742762002908
which,63696,0.0018455136772451083
born,63624,0.0018434275653265947
new,63561,0.0018416022173978952
she,62950,0.0018238992398671749
4,61698,0.0017876240715063536
have,58043,0.001681724917865138
redirect,56044,0.001623806338349737
websites,53172,0.0015405936518223578
5,52850,0.0015312640957423384
there,51592,0.0014948150847216408
city,50523,0.0014638421174870417
united,50341,0.0014585688901374654
their,50255,0.0014560771453459075
had,49051,0.0014211927182640953
after,48850,0.0014153689891582446
but,47072,0.0013638536142816149
can,46971,0.0013609272628403665
who,46041,0.0013339816505595647
may,45962,0.0013316927222045288
6,45374,0.0013146561415366671
b,44772,0.001297213927995761
states,43619,0.001263807163522896
when,43249,0.0012530868661638672
about,43027,0.0012466546877484502
many,42907,0.0012431778345509273
its,42904,0.0012430909132209894
her,42800,0.0012400776404498028
world,41969,0.0012160004320569573
known,41742,0.0012094233847583101
de,41414,0.0011999199860184143
two,41338,0.0011977179789933166
called,40641,0.0011775232566710381
used,40466,0.001172452845757984
d,40050,0.0011603997546732383
s,39990,0.001158661328074477
all,39961,0.0011578210885517424
7,38927,0.001127862203499754
county,38788,0.0011238348485459568
most,38657,0.0011200392838053277
time,38593,0.0011181849620999823
10,36836,0.0010672780365329191
some,36732,0.0010642647637617326
made,36440,0.0010558044209810938
8,36187,0.00104847405548965
national,34471,0.0009987550547650736
more,33706,0.0009765901156308658
state,32881,0.0009526867498978964
into,32825,0.0009510642184057191
9,31723,0.0009191351165418012
died,31613,0.0009159480011107387
been,31381,0.0009092260849288613
january,31032,0.0008991142368793991
2010,30276,0.0008772100617350054
movie,30165,0.0008739939725272968
part,29658,0.0008593042677677629
up,29354,0.0008504962396673717
march,29167,0.0008450781434345654
university,29125,0.0008438612448154324
12,28862,0.0008362411415575282
years,28763,0.0008333727376695719
river,28142,0.0008153800223723914
only,28034,0.0008122508544946208
11,27962,0.0008101647425761072
south,27864,0.0008073253124647969
name,27797,0.0008053840694295133
during,27644,0.0008009510816026717
north,27378,0.0007932440570148295
2007,27110,0.0007854790848736952
year,27008,0.0007825237596558009
july,26730,0.0007744690497482063
because,26543,0.0007690509535154
april,26475,0.0007670807367034703
june,26432,0.0007658348643076913
war,26300,0.0007620103257904163
october,26163,0.000758040918389911
september,25931,0.0007513190022080335
