word,count,fraction
the,1941041,0.05577844270509675
of,1030092,0.029601089107843946
in,840495,0.02415276246169983
and,748821,0.02151838587895529
a,661112,0.01899794894268175
is,494619,0.014213547036024612
to,470885,0.013531518393063043
was,364444,0.01047279206014519
for,227204,0.006529014738157928
it,223550,0.006424012098005338
on,217103,0.006238748819115423
he,215757,0.0062000696856601995
as,192978,0.005545484261457723
by,177440,0.005098978781794082
from,155517,0.004468991677233264
with,151272,0.00434700585144023
that,144701,0.004158179264564842
are,141349,0.004061855003538163
0,140818,0.004046595999181014
at,140307,0.004031911721918295
1,124350,0.0035733657096263197
an,119924,0.0034461786036286833
2,113643,0.003265685559622548
his,110885,0.0031864306933004783
or,98085,0.0028186053528644756
they,92522,0.0026587450115484225
this,86120,0.0024747748686209784
also,81921,0.0023541109151451367
american,77125,0.0022162913579005217
be,76903,0.002209911887152335
has,76693,0.0022038772526608067
3,76229,0.0021905435840700017
were,73052,0.002099248185119597
first,68636,0.001972348442669176
not,67788,0.001947980013865291
people,67403,0.0019369165172974895
one,67234,0.0019320600733495454
she,66284,0.001904760536364061
born,65951,0.0018951913302417806
which,64828,0.0018629204038894656
new,64761,0.001860995068123121
4,62643,0.0018001314688228512
have,58996,0.001695329983153312
redirect,57421,0.0016500702244668507
5,53505,0.0015375386593772114
there,52425,0.0015065033962779236
city,51361,0.001475927914854181
united,51226,0.00147204850696677
their,51114,0.0014688300352379549
had,49862,0.0014328521191265585
after,49759,0.0014298922745902376
but,47925,0.0013771898000308916
other,47831,0.0013744885826870647
can,47789,0.001373281655788759
who,46956,0.0013493442723056972
may,46912,0.0013480798726979485
6,45926,0.0013197458269424878
b,45102,0.0012960670706519202
states,44375,0.001275175740769344
when,44136,0.0012683077519908905
her,43759,0.0012574741462608615
many,43741,0.0012569568918758733
its,43657,0.001254543038079262
about,43524,0.0012507211029012943
known,42877,0.0012321286813964433
world,42478,0.0012206628758625396
two,42112,0.0012101453700344477
de,41373,0.001188909203895213
called,41126,0.001181811324278987
used,41066,0.0011800871429956932
all,40664,0.0011685351283976248
s,40446,0.0011622706030683242
d,40266,0.001157098059218443
7,39485,0.0011346549661809026
time,39354,0.0011308905037123779
county,39199,0.0011264363687305357
most,39134,0.001124568505673634
10,37497,0.001077527092994436
some,37114,0.0010665210691360775
made,37112,0.0010664635964266343
8,36733,0.0010555725179871621
national,35976,0.001033819097462939
more,33890,0.0009738750615137593
state,33542,0.0009638748100706555
died,33355,0.0009585011117377233
january,33271,0.000956087257941112
into,33218,0.0009545642311408692
