word,count,fraction
the,1886224,0.05511357922056915
of,1001665,0.0292676497223932
in,814515,0.023799313856064753
and,731773,0.02138167535084568
a,640996,0.018729262179925578
is,481949,0.014082067873049055
to,459144,0.013415728576059365
was,348257,0.010175721313384704
for,219059,0.006400684940112446
it,217994,0.006369566705019526
on,208661,0.006096865777205241
he,206421,0.006031415217009806
as,186899,0.005461001897306552
by,172999,0.005054857796093806
from,150217,0.004389190536106123
with,147399,0.004306851393860258
that,141176,0.004125021556317315
0,139374,0.004072368918160094
are,138547,0.00404820480508794
at,134421,0.0039276472107279544
1,122806,0.00358826852471457
an,116001,0.0033894332291208476
2,110887,0.0032400072626746616
his,107840,0.0031509769694088173
references,104424,0.0030511648651107785
other,101252,0.002958482196834028
or,95936,0.0028031539923702178
they,90654,0.0026488192339093742
this,83790,0.0024482600173105044
also,79254,0.0023157226329147476
be,75009,0.0021916879775443804
has,74860,0.0021873343465313804
american,74581,0.0021791822455070383
3,74293,0.002170767173481911
were,71346,0.002084658780224791
people,67210,0.0019638089958639335
first,67044,0.0019589586418494506
not,66368,0.001939206597790471
one,65758,0.0019213830077372497
which,63253,0.0018481894125186935
new,63109,0.0018439818765061298
born,62947,0.0018392483984919956
she,62333,0.0018213079324384254
4,61031,0.0017832647943248287
have,57720,0.0016865206850359509
redirect,55791,0.0016301572338676496
websites,52861,0.001544545563612013
5,52289,0.0015278322955621071
there,51355,0.0015005417494806177
city,50224,0.0014674950603819402
united,49954,0.0014596059303583833
their,49924,0.0014587293603557658
had,48784,0.0014254197002563033
after,48436,0.001415251488225941
but,46752,0.0013660466920790155
can,46679,0.0013639137050726463
who,45665,0.001334285638984177
may,45566,0.0013313929579755394
6,44835,0.001310033868911761
b,44623,0.0013038394408932646
states,43271,0.0012643353527753054
when,42988,0.0012560663757506141
about,42857,0.0012522386867391848
many,42649,0.0012461611347210372
its,42560,0.001243560643713272
her,42481,0.0012412523427063795
world,41667,0.0012174680766353597
known,41301,0.001206773922603427
two,41155,0.0012025079485906886
de,41032,0.0011989140115799572
called,40464,0.0011823176195304005
used,40251,0.0011760939725118165
d,39965,0.0011677373384868636
s,39661,0.0011588547624603403
all,39661,0.0011588547624603403
county,38666,0.0011297818573735286
7,38506,0.001125106817359569
most,38420,0.0011225939833520656
time,38392,0.0011217758513496227
some,36535,0.0010675161681876033
10,36472,0.0010656753711821066
made,36228,0.001058545935160818
8,35859,0.0010477641241286237
national,34094,0.0009961925889746311
more,33452,0.000977433990918618
into,32641,0.0009537373818478598
state,32624,0.0009532406588463766
9,31450,0.0009189375527439475
been,31192,0.0009113990507214376
died,31104,0.0009088277787137598
january,30309,0.0008855986736443977
2010,29985,0.0008761317176161293
movie,29693,0.000867599769590653
part,29487,0.0008615806555726798
up,29121,0.0008508865015407471
university,28937,0.0008455102055246935
march,28665,0.000837562637500962
years,28581,0.0008351082414936332
12,28483,0.0008322447794850829
river,28072,0.0008202357704492241
only,27828,0.0008131063344279355
south,27760,0.0008111194424220027
11,27640,0.0008076131624115329
name,27577,0.0008057723654060363
during,27433,0.0008015648293934726
north,27244,0.0007960424383769827
2007,26898,0.000785932664346795
year,26823,0.0007837412393402513
because,26414,0.0007717906683045669
july,26230,0.0007664143722885134
april,26179,0.0007649242032840637
war,26127,0.0007634048152795268
june,26044,0.0007609796382722852
english,25745,0.000752243157246198
i,25707,0.0007511328352428826
october,25617,0.0007485031252350303
became,25463,0.0007440033992215942
september,25448,0.0007435651142202854
like,25281,0.000738685541205715
december,25163,0.0007352376991954198
best,25079,0.0007327833031880909
august,24948,0.0007289556141766614
these,24925,0.0007282835771746548
league,24464,0.0007148136181344334
music,24415,0.0007133818871301583
than,24355,0.0007116287471249234
2008,24180,0.0007065154221096551
history,24031,0.0007021617910966551
john,23904,0.0006984509780855746
november,23789,0.0006950907930755411
2006,23768,0.0006944771940737089
15,23737,0.0006935714050710042
2012,23690,0.0006921981120669036
over,23689,0.0006921688930668163
player,23590,0.0006892762120581788
team,23575,0.00068883792705687
rowspan,23353,0.000682351309037501
between,23215,0.0006783190870254608
no,23215,0.0006783190870254608
13,23131,0.000675864691018132
very,23071,0.0006741115510128971
20,22856,0.0006678294659941388
france,22801,0.0006662224209893401
president,22653,0.0006618980089764274
14,22650,0.0006618103519761658
2011,22615,0.000660787686973112
2009,22591,0.000660086430971018
2005,22520,0.0006580118819648235
york,22509,0.0006576904729638638
february,22373,0.000653716688951998
p,22343,0.0006528401189493806
life,22197,0.0006485741449366424
british,22101,0.0006457691209282666
three,21805,0.0006371202969024412
them,21763,0.0006358930988987768
football,21728,0.0006348704338957231
series,21650,0.0006325913518889178
16,21573,0.0006303414888821997
then,21482,0.0006276825598742601
where,21159,0.000618244822846079
such,21157,0.0006181863848459046
out,21075,0.0006157904268387502
actor,21069,0.0006156151128382267
000,20830,0.0006086317718173744
2004,20787,0.0006073753548136228
played,20693,0.0006046287688054215
2014,20680,0.0006042489218042872
found,20566,0.000600917955794341
later,20410,0.0005963597917807304
18,20403,0.0005961552587801196
will,20331,0.0005940514907738378
area,20276,0.0005924444457690391
c,20033,0.0005853442287478378
30,20004,0.0005844968777453076
17,19933,0.000582422328739113
so,19716,0.0005760818057201802
19,19574,0.0005719327077077911
group,19557,0.0005714359847063078
would,19544,0.0005710561377051737
district,19492,0.0005695367497006367
since,19489,0.000569449092700375
second,19353,0.0005654753086885093
u,19342,0.0005651538996875495
2000,19226,0.0005617644956774288
2017,19207,0.000561209334675771
official,19057,0.0005568264846626839
french,18916,0.0005527066056503819
him,18906,0.0005524144156495095
if,18904,0.000552355977649335
2001,18811,0.0005496386106412209
2013,18692,0.0005461615496308384
different,18691,0.0005461323306307511
la,18655,0.0005450804466276102
2003,18619,0.0005440285626244693
politician,18517,0.00054104822461557
25,18343,0.0005359641186003888
german,18242,0.0005330129995915769
day,18196,0.0005316689255875634
west,18143,0.0005301203185829392
before,18124,0.0005295651575812815
released,18101,0.0005288931205792749
international,17876,0.000522318845559644
department,17702,0.000517234739544463
former,17664,0.0005161244175411475
won,17641,0.0005154523805391408
21,17623,0.0005149264385375704
king,17568,0.0005133193935327717
until,17477,0.0005106604645248321
j,17465,0.0005103098365237852
2015,17441,0.0005096085805216912
2002,17431,0.0005093163905208187
town,17358,0.0005071834035144496
2016,17321,0.0005061023005112215
career,17274,0.0005047290075071208
22,17227,0.0005033557145030202
album,17153,0.0005011935084965638
saint,17096,0.0004995280254915907
age,17000,0.0004967230014832148
party,16921,0.0004944147004763223
make,16915,0.0004942393864757988
related,16912,0.000494151729475537
use,16911,0.0004941225104754498
region,16871,0.0004929537504719599
number,16852,0.0004923985894703022
television,16834,0.0004918726474687317
24,16763,0.0004897980984625371
do,16675,0.0004872268264548593
often,16625,0.0004857658764504969
population,16609,0.00048529837244910097
family,16599,0.00048500618244822847
school,16555,0.00048372054644438956
actress,16343,0.000477526118425893
award,16236,0.00047439968541655746
23,16232,0.00047428280941620845
member,16150,0.00047188685140905413
same,16147,0.0004717991944087924
singer,16051,0.00046899417040041657
government,16049,0.0004689357324002421
website,16037,0.0004685851043991951
2018,15986,0.0004670949353947455
work,15780,0.0004610758213767724
east,15711,0.0004590597103707523
2019,15709,0.0004590012723705778
26,15693,0.0004585337683691818
1999,15685,0.00045830001636848385
through,15651,0.00045730657036551745
27,15507,0.00045309903435295374
list,15469,0.00045198871234963827
being,15424,0.0004506738573457121
well,15395,0.00044982650634318197
long,15368,0.00044903759334082624
28,15357,0.00044871618433986655
ii,15267,0.0004460864743320142
game,15153,0.00044275550832206795
early,15064,0.0004401550173143029
