word,count,fraction
the,1859215,0.05517444057539307
of,985532,0.0292468470667181
in,801222,0.023777226209285955
and,720051,0.021368379187319573
a,630472,0.018710014655889298
is,473727,0.014058418316579436
to,453173,0.013448453653220636
was,341384,0.010130980667319265
for,215872,0.0064062611563973255
it,214377,0.00636189523386539
on,204859,0.0060794371397791275
he,202423,0.00600714591082408
as,183463,0.005444485114031105
by,169842,0.0050402655616515095
from,147559,0.00437899074440795
with,145605,0.004321003444991627
that,139596,0.004142679144995372
0,138573,0.0041123203899785365
are,136908,0.004062909513044976
at,131683,0.0039078513557009205
1,120997,0.0035907314572552586
an,113965,0.003382048402242168
2,109504,0.0032496628635030607
his,106370,0.00315665764529899
references,101114,0.0030006795256816965
other,99554,0.0029543846499961984
or,94730,0.0028112266497995046
they,89633,0.0026599670463578486
this,82853,0.002458762394340107
also,77992,0.0023145063746560007
be,74142,0.002200252995560381
has,73966,0.002195029983944581
3,73310,0.0021755623951947817
american,73142,0.002170576793197882
were,70746,0.002099472612337335
first,66245,0.0019659000255037285
people,66167,0.0019635852817194532
not,65585,0.001946313731944479
one,64729,0.0019209109027221803
which,62445,0.0018531304565262332
new,62019,0.0018404883943198087
born,61316,0.001819626024058972
she,61139,0.0018143733362408097
4,60187,0.001786121591591711
have,57083,0.001694006659458515
redirect,55093,0.0016349510167571425
websites,51770,0.0015363369963065593
5,51585,0.0015308468988694968
there,50580,0.0015010223154951858
city,49585,0.0014714944941444995
their,49340,0.0014642238245656874
united,49029,0.0014549945256309503
had,48348,0.0014347850318220886
after,47865,0.0014204514260810017
but,46244,0.0013723463020513913
can,46086,0.0013676574620781164
who,45075,0.0013376548214896302
may,44887,0.0013320756954454806
b,44316,0.0013151305838964937
6,44106,0.001308898581400369
when,42528,0.001262069534072346
states,42500,0.001261238600406196
about,42349,0.0012567574938494588
many,42122,0.0012500209959131715
her,41972,0.0012455695655587966
its,41818,0.0012409994303949718
world,40873,0.0012129554191624107
two,40660,0.0012066343880591983
known,40536,0.0012029545389662486
de,40445,0.001200254004551261
called,40031,0.0011879680567731866
d,39706,0.0011783232910053745
used,39559,0.0011739608892580872
all,39170,0.0011624168465390753
s,38976,0.0011566596632807504
most,37999,0.0011276660135725893
county,37970,0.0011268054037040767
7,37923,0.0011254106221930394
time,37858,0.001123481669039477
some,36170,0.001073388239451579
10,35834,0.0010634170354577794
made,35781,0.001061844196732567
8,35374,0.00104976598237103
national,33413,0.00099157094953817
more,33069,0.0009813623359254705
into,32262,0.000957413640618934
state,31813,0.000944089025758172
9,31048,0.0009213867309508606
been,30790,0.0009137302707413359
died,30091,0.0008929866052899493
january,29665,0.0008803445430835248
2010,29226,0.0008673166902463879
part,28925,0.0008583841533352757
movie,28805,0.0008548230090517759
up,28683,0.000851202512363551
university,28625,0.0008494812926265261
march,28183,0.0008363644111823017
years,28025,0.0008316755712090268
12,27986,0.0008305181993168894
river,27953,0.000829538884638927
only,27530,0.00081698585103959
south,27297,0.0008100712958891279
name,27266,0.0008091513336158904
during,27094,0.0008040470268095406
11,27081,0.0008036612361788281
north,26898,0.0007982304911464908
2007,26467,0.0007854400479282539
year,26458,0.0007851729621069914
because,26098,0.0007744895292564919
war,25909,0.0007688807270099796
july,25883,0.0007681091457485546
april,25780,0.0007650524969052173
june,25515,0.000757188303279155
english,25438,0.0007549032356972427
i,25408,0.0007540129496263678
became,25105,0.0007450210603105306
like,24961,0.0007407476871703308
best,24760,0.0007347827704954685
these,24691,0.0007327351125324561
december,24649,0.0007314887120332312
august,24518,0.0007276011295237439
music,24194,0.0007179860399582943
league,24072,0.0007143655432700695
september,24059,0.0007139797526393569
october,24051,0.0007137423430204569
than,24045,0.0007135642858062819
2008,23882,0.0007087270648211947
history,23781,0.0007057297683825823
john,23560,0.0006991713276604701
2006,23475,0.0006966488504596577
over,23399,0.0006943934590801078
rowspan,23360,0.0006932360871879703
2012,23268,0.0006905058765706205
15,23191,0.0006882208089887081
team,23106,0.0006856983317878957
player,23104,0.0006856389793831706
november,23076,0.0006848080457170206
very,22916,0.0006800598533390209
no,22905,0.0006797334151130334
13,22735,0.0006746884607114086
between,22718,0.0006741839652712461
france,22499,0.0006676848769538589
20,22412,0.0006651030473483216
2009,22305,0.0006619276936955342
2005,22250,0.0006602955025655968
president,22228,0.0006596426261136218
14,22213,0.0006591974830781843
2011,22196,0.0006586929876380218
p,22176,0.0006580994635907718
york,22162,0.0006576839967576968
february,21908,0.0006501462413576221
life,21869,0.0006489888694654847
british,21825,0.0006476831165615348
them,21544,0.0006393441036976727
three,21531,0.0006389583130669602
football,21475,0.0006372964457346602
series,21296,0.000631984405511773
16,21168,0.000628185851609373
then,21141,0.0006273845941455856
where,20851,0.000618778495460461
such,20848,0.0006186894668533735
out,20778,0.0006166121326879986
actor,20774,0.0006164934278785486
000,20690,0.0006140006268800987
2004,20476,0.000607649919574524
2014,20233,0.0006004386024004368
played,20193,0.0005992515543059368
later,20178,0.0005988064112704993
found,20141,0.000597708391783087
area,20119,0.000597055515331112
18,20018,0.0005940582188924996
will,19883,0.0005900519315735622
c,19818,0.0005881229784199998
30,19561,0.0005804961944128376
17,19531,0.0005796059083419627
so,19516,0.0005791607653065252
would,19285,0.0005723055625607879
second,19158,0.0005685366848607507
district,19027,0.0005646491023512633
since,18999,0.0005638181686851134
u,18971,0.0005629872350189634
19,18967,0.0005628685302095133
2000,18927,0.0005616814821150135
official,18877,0.0005601976719968885
group,18798,0.0005578532520102511
him,18674,0.0005541734029173012
2017,18667,0.0005539656695007638
if,18627,0.0005527786214062639
french,18536,0.0005500780869912764
2001,18532,0.0005499593821818265
different,18502,0.0005490690961109515
la,18399,0.0005460124472676141
2003,18359,0.0005448253991731141
2013,18258,0.0005418281027345018
25,18026,0.0005349432237864021
day,17997,0.0005340826139178896
german,17974,0.0005334000612635521
west,17945,0.0005325394513950397
politician,17890,0.0005309072602651023
before,17886,0.0005307885554556523
released,17854,0.0005298389169800524
international,17685,0.00052482363878079
department,17589,0.0005219747233539901
