word,count,fraction
the,1915641,0.05585873768719683
of,1016496,0.029640304954887075
in,824945,0.02405481317290901
and,737204,0.021496347623564255
a,652058,0.019013550440212017
is,488015,0.014230172497047913
to,464709,0.013550586008484654
was,355809,0.010375138973191646
for,222249,0.006480623766270303
it,220692,0.0064352227466747906
on,212753,0.0062037271175362126
he,210575,0.006140218176830352
as,190242,0.0055473222671093905
by,175215,0.005109145567390859
from,152196,0.00443792779599132
with,149542,0.004360539031696852
that,142888,0.004166513094388866
are,139898,0.004079326807561261
0,139890,0.004079093533215234
at,137331,0.004004474901779837
1,123524,0.003601872539830428
an,118079,0.003443100188065778
2,112477,0.003279749827260347
his,109506,0.0031931175670045567
or,97142,0.0028325920652197746
they,91521,0.0026686876778425294
this,84888,0.0024752740856928647
also,80460,0.0023461567351669007
be,76013,0.0022164853580691228
american,75926,0.002213948499556079
has,75843,0.0022115282782160482
3,75329,0.0021965404014838113
were,72240,0.0021064673446241225
first,67586,0.0019707599938228954
not,66992,0.001953439373630388
one,66455,0.0019377808331533233
people,66359,0.0019349815410009989
born,64280,0.0018743593703272232
which,64217,0.0018725223348522604
new,63809,0.0018606253432048817
she,63425,0.0018494281745955838
4,61910,0.0018052518453167143
have,58455,0.0017045064871262887
redirect,56407,0.0016447882545433678
5,52824,0.0015403105068165096
there,51853,0.0015119968330674783
city,50692,0.0014781428936003049
their,50592,0.001475226964274967
united,50200,0.0014637965213196422
had,49421,0.0014410814318752598
after,48888,0.0014255395285712087
but,47369,0.0013812465621193255
other,47346,0.0013805758983744976
can,47235,0.0013773392168233726
who,46402,0.0013530495255433077
may,46206,0.0013473343040656452
6,45390,0.0013235403207708877
b,44789,0.0013060155855256067
when,43499,0.0012684000972287474
states,43448,0.001266912973272825
its,43268,0.0012616643004872167
many,43232,0.001260614565930095
her,43101,0.0012567946985139024
about,43051,0.0012553367338512334
known,42176,0.0012298223522545265
world,41795,0.0012187126615249891
two,41632,0.0012139596967246883
de,41490,0.0012098190770827083
called,40774,0.0011889410231132888
used,40661,0.0011856460229756568
all,40123,0.0011699583232053388
d,40023,0.001167042393880001
s,39970,0.0011654969513375717
7,38964,0.0011361627023246722
time,38930,0.0011351712863540574
most,38802,0.0011314388968176247
county,38769,0.0011304766401402631
10,37020,0.0010794770362401028
some,36777,0.0010723913279795316
made,36603,0.0010673176109534436
8,36289,0.0010581615928718824
national,34479,0.001005383272083266
more,33490,0.0009765447310556738
into,32942,0.0009605654383528218
state,32926,0.0009600988896607677
died,32211,0.0009392499949846015
9,31781,0.0009267114988856485
been,31671,0.0009235039766277767
january,31270,0.0009118111000331716
movie,30664,0.0008941405683216238
2010,30138,0.0008788027800703462
part,29932,0.00087279596566015
march,29295,0.0008542214958577474
university,29230,0.0008523261417962778
12,28928,0.0008435200352337573
years,28484,0.0008305733090292568
up,28364,0.0008270741938388512
only,28162,0.0008211840166016687
river,28106,0.0008195510961794794
11,28006,0.0008166351668541415
south,27888,0.0008131943702502427
during,27837,0.0008117072462943204
north,27401,0.000798993794435847
name,27336,0.0007970984403743774
year,26889,0.0007840642362901168
july,26796,0.0007813524220175525
december,26772,0.0007806525989794714
because,26709,0.0007788155635045084
2007,26695,0.0007784073333989612
april,26536,0.0007737710057716739
june,26484,0.0007722547225224981
october,26315,0.0007673268019626771
september,26020,0.0007587248104529301
i,25938,0.000756333748406153
war,25884,0.0007547591465704705
english,25882,0.0007547008279839638
became,25854,0.0007538843677728691
like,25587,0.0007460988364742169
august,25514,0.0007439702080667202
november,25512,0.0007439118894802134
best,25510,0.0007438535708937067
these,25216,0.0007352807386772132
than,24680,0.0007196513574934018
2008,24334,0.0007095622420277326
john,24290,0.0007082792331245839
league,24207,0.0007058590117845535
15,24139,0.0007038761798433236
over,24064,0.0007016892328493201
2006,24027,0.0007006103389989452
2012,23963,0.0006987441442307289
player,23779,0.000693378834272107
music,23663,0.0006899963562547151
team,23663,0.0006899963562547151
no,23582,0.0006876344535011914
13,23531,0.000686147329545269
between,23504,0.0006853600286274278
20,23375,0.0006815984797977418
president,23363,0.0006812485682787013
rowspan,23337,0.0006804904266541134
very,23287,0.0006790324619914444
february,23182,0.0006759707361998396
14,23018,0.0006711886121062854
france,22997,0.0006705762669479645
2005,22903,0.0006678352933821468
york,22869,0.0006668438774115319
2009,22855,0.0006664356473059846
2011,22820,0.0006654150720421162
p,22439,0.0006543053813125787
british,22313,0.0006506313103626529
three,22109,0.0006446828145389636
them,22006,0.0006416794073338655
16,21926,0.0006393466638735951
football,21892,0.0006383552479029802
then,21774,0.0006349144512990815
series,21762,0.000634564539780041
such,21499,0.0006268956456544022
actor,21423,0.0006246795393671454
out,21302,0.0006211512648834865
where,21289,0.0006207721940711925
2014,21177,0.0006175063532268141
played,21077,0.0006145904239014761
2004,21061,0.000614123875209422
000,21000,0.0006123451583209659
18,20779,0.0006059009545119691
found,20728,0.0006044138305560467
will,20618,0.000601206308298175
19,20463,0.0005966866178439012
30,20413,0.0005952286531812322
area,20329,0.0005927792725479484
later,20310,0.0005922252459761341
17,20292,0.0005917003786975733
c,20054,0.000584760466903269
so,19922,0.0005809114401938229
since,19902,0.0005803282543287554
would,19848,0.0005787536524930729
2017,19727,0.000575225378009414
u,19589,0.0005712013955404476
district,19589,0.0005712013955404476
second,19446,0.0005670316166052144
group,19368,0.0005647571917314509
politician,19317,0.0005632700677755285
french,19256,0.0005614913508870723
official,19199,0.0005598292711716297
him,19198,0.0005598001118783763
2013,19167,0.0005588961737875216
if,19145,0.0005582546693359472
la,19031,0.000554930509905062
2003,18958,0.0005528018814975653
different,18706,0.0005454537395977137
25,18662,0.000544170730694565
2000,18612,0.0005427127660318961
day,18394,0.0005363560401026594
before,18358,0.0005353063055455377
2001,18358,0.0005353063055455377
german,18326,0.0005343732081614296
west,18290,0.0005333234736043079
released,18233,0.0005316613938888653
2015,18025,0.0005255962608921624
21,17999,0.0005248381192675746
age,17928,0.0005227678094465846
won,17909,0.0005222137828747704
department,17887,0.000521572278423196
2016,17837,0.0005201143137605271
until,17826,0.0005197935615347399
king,17786,0.0005186271898046048
2002,17675,0.0005153905082534797
j,17655,0.000514807322388412
22,17512,0.0005106375434531788
party,17459,0.0005090921009107498
town,17442,0.0005085963929254422
former,17324,0.0005051555963215434
region,17222,0.0005021813484096988
saint,17157,0.0005002859943482291
24,17135,0.0004996444898966548
album,17117,0.0004991196226180939
make,17073,0.0004978366137149453
number,17048,0.0004971076313836108
member,16877,0.0004921213922372829
use,16807,0.0004900802417095464
do,16794,0.0004897011708972525
often,16788,0.0004895262151377322
2018,16636,0.0004850940025632185
actress,16616,0.0004845108166981509
school,16601,0.0004840734272993502
life,16598,0.0004839859494195901
2019,16512,0.0004814782501997995
23,16510,0.0004814199316132927
television,16454,0.00047978701119110346
same,16435,0.00047923298461928927
award,16431,0.00047911634744627577
family,16422,0.00047885391380699536
singer,16280,0.00047471329416501546
2020,16268,0.0004743633826459749
center,16214,0.0004727887808102924
website,16011,0.0004668694442798564
26,15993,0.0004663445770012956
population,15966,0.00046555727608345434
1999,15875,0.00046290378039739685
through,15874,0.0004628746211041435
east,15838,0.00046182488654702183
government,15835,0.0004617374086672617
27,15823,0.00046138749714822114
history,15802,0.0004607751519899002
being,15695,0.0004576551076117886
28,15638,0.00045599302789634596
