word,count,fraction
the,1956910,0.0556596903881903
of,1037138,0.029498944749542344
in,852636,0.024251220431100572
and,756067,0.02150454294409445
a,665893,0.018939756152129224
is,497857,0.014160368375445603
to,475168,0.01351503327305579
was,368567,0.010483019202367065
for,230535,0.006557024453675156
it,224911,0.00639706303555006
he,221735,0.0063067292048307666
on,219713,0.006249218182880385
as,194763,0.005539574267122712
by,178718,0.005083212077610413
from,157471,0.004478891264860783
with,152259,0.00433064821520431
0,148158,0.004214004940714442
that,145550,0.004139826530602377
at,142080,0.004041130563160328
are,142063,0.004040647038247787
1,127327,0.0036215162670010913
an,120631,0.003431064336744042
2,119530,0.0033997489879965793
his,111882,0.0031822196626372736
or,98586,0.002804046295746932
they,92869,0.002641439711923821
this,86764,0.0024677973830380256
also,82915,0.0023583216543105194
3,78739,0.002239545181677091
american,77564,0.0022061250774279817
be,77387,0.00220109072980918
has,76936,0.002188263098305905
were,73513,0.00209090393503382
first,69421,0.0019745166443211793
not,68366,0.0019445096571017665
people,67804,0.0019285248923460224
one,67605,0.0019228648066051096
born,66729,0.0018979490522883272
she,66641,0.0018954460997998833
which,65307,0.001857503615486427
new,65232,0.0018553704173428667
4,64588,0.0018370533559501636
have,59365,0.0016884974372326357
redirect,57942,0.0016480235577888212
5,54796,0.0015585430063269519
there,52690,0.0014986428024557831
city,51713,0.0014708543413056731
united,51653,0.001469147782790825
their,51492,0.0014645685174426494
after,50620,0.0014397665336935233
had,50143,0.0014261993935004809
but,48249,0.0013723290297151089
other,48085,0.0013676644364411907
can,48036,0.001366270746987398
may,47365,0.0013471857342630133
who,47242,0.0013436872893075747
6,46959,0.0013356380216458744
b,45286,0.0012880534817235262
states,44616,0.0012689969116410557
when,44455,0.00126441764629288
many,44325,0.0012607201028440424
her,43982,0.001250964276667494
its,43826,0.0012465272245288888
about,43753,0.001244450911669157
world,43269,0.0012306846729827157
known,43140,0.0012270155721757921
two,42375,0.0012052569511114787
de,41926,0.001192486204892032
called,41265,0.0011736856185867886
used,41233,0.0011727754540455362
all,41183,0.0011713533219498296
s,40709,0.0011578715096825295
d,40346,0.0011475468306676984
7,40221,0.0011439915004284316
time,39777,0.0011313629674185555
most,39356,0.0011193886151727045
county,39299,0.0011177673845835989
10,38081,0.0010831242467321822
8,37385,0.001063328167959944
made,37268,0.0010600003788559904
some,37261,0.0010598012803625914
national,36919,0.001050073896827957
more,34082,0.0009693821217175556
state,33783,0.0009608777717852291
january,33744,0.0009597685087505779
died,33622,0.0009562985064370534
into,33351,0.0009485905504783228
9,32725,0.0009307854566400741
been,32423,0.0009221957787820052
movie,31552,0.0008974222376747935
2010,31158,0.0008862158367606243
march,30928,0.0008796740291203732
university,30887,0.0008785078808018936
part,30504,0.0008676143489487799
12,29786,0.0008471925320544308
years,29126,0.0008284203883911016
11,28853,0.0008206555471485426
up,28809,0.0008194040709043207
only,28603,0.0008135448866700088
during,28412,0.0008081123420644091
south,28387,0.0008074012760165557
river,28350,0.0008063488982657327
north,27923,0.000794203890168397
name,27854,0.0007922413478763216
league,27795,0.0007905632320033876
december,27631,0.0007858986387294694
july,27581,0.0007844765066337627
year,27369,0.000778446666547966
june,27311,0.0007767969933169462
because,27231,0.0007745215819638154
april,27223,0.0007742940408285023
october,27046,0.0007692596932097004
became,26824,0.0007629454267047624
september,26819,0.0007628032134951917
2007,26329,0.0007488663189572655
team,26323,0.0007486956631057806
english,26314,0.0007484396793285534
august,26303,0.000748126810267498
i,26251,0.0007466477928879629
november,26212,0.0007455385298533116
best,26170,0.0007443439388929179
war,26129,0.0007431777905744384
like,25983,0.0007390251648549746
these,25600,0.0007281316330018609
than,25075,0.0007131992459969399
2008,24985,0.0007106394082246677
15,24933,0.0007091603908451328
2012,24789,0.0007050646504094972
player,24769,0.0007044957975712146
john,24716,0.0007029883375497654
played,24716,0.0007029883375497654
february,24697,0.0007024479273533968
20,24690,0.0007022488288599978
2006,24687,0.0007021635009342555
over,24417,0.000694483987617439
13,24353,0.0006926636585349343
rowspan,24243,0.0006895349679243794
music,24020,0.0006831922587775273
no,23987,0.0006822536515943608
between,23917,0.0006802626666603714
president,23815,0.0006773615171851296
2011,23768,0.0006760247130151653
14,23762,0.0006758540571636804
france,23696,0.0006739768427973475
very,23551,0.0006698526597197979
2009,23398,0.0006655009355069352
2005,23365,0.0006645623283237687
york,23225,0.0006605803584557898
16,22790,0.000648207809223141
football,22722,0.0006462737095729799
british,22694,0.0006454773155993841
three,22602,0.0006428605925432836
p,22560,0.0006416660015828899
series,22462,0.0006388786226753046
them,22362,0.0006360343584838912
then,22122,0.0006292081244244987
2014,22079,0.0006279850908221909
actor,21983,0.0006252545971984339
19,21875,0.0006221827918717073
such,21856,0.0006216423816753387
000,21847,0.0006213863978981115
2004,21621,0.000614958360825517
18,21578,0.0006137353272232092
where,21573,0.0006135931140136384
out,21509,0.0006117727849311338
u,21410,0.0006089569633816345
17,21254,0.0006045199112430294
will,21050,0.0005987176122925458
found,21026,0.0005980349888866065
30,21023,0.0005979496609608641
later,20908,0.0005946787571407385
2017,20682,0.000588250720068144
area,20554,0.0005846100619031347
since,20479,0.0005824768637595746
