word,count,fraction
the,1928102,0.05584513387974288
of,1023424,0.029642233811147948
in,831464,0.02408234543410387
and,742764,0.02151325760828698
a,656601,0.01901765090776995
is,491371,0.014231964532801242
to,467839,0.01355038871862849
was,359809,0.010421430907771688
for,224076,0.0064900893309779596
it,222153,0.006434391970334827
on,214599,0.006215599530242146
he,212977,0.006168620269210861
as,191539,0.005547694623101927
by,176365,0.005108198133034899
from,153879,0.004456918439107969
with,150429,0.00435699337711171
that,143806,0.004165166221864977
are,140732,0.004076131543437005
0,139862,0.004050933049542295
at,138511,0.004011802974540282
1,123140,0.003566600618614336
an,119199,0.0034524543376499126
2,112731,0.0032651165692464896
his,110279,0.0031940973657639303
or,97721,0.002830370140097544
they,91992,0.0026644366096115805
this,85440,0.002474665883176944
also,81108,0.002349194761852944
american,76641,0.002219813529407352
be,76483,0.002215237251205784
has,76483,0.002215237251205784
3,75569,0.0021887643507232965
were,72652,0.002104276986710807
first,68130,0.0019733027460304914
not,67364,0.001951116485888713
one,66950,0.001939125478449162
people,66866,0.0019366925204179486
born,65169,0.001887540975430223
which,64561,0.0018699309934900126
new,64349,0.0018637906708398077
she,64235,0.001860488799226018
4,62111,0.001798969717579625
have,58731,0.001701072120609376
redirect,56947,0.0016494007262321795
5,53043,0.0015363261053529334
there,52180,0.0015113303579608254
city,51019,0.0014777034023151275
united,50911,0.0014745753134178534
their,50816,0.0014718237537396954
had,49621,0.0014372120293670778
after,49192,0.0014247865651362385
other,47647,0.0013800375156335656
but,47639,0.0013798058053448787
can,47509,0.001376040513153715
who,46695,0.0013524639912798149
may,46472,0.0013460050669826655
6,45516,0.0013183156874845712
b,44987,0.0013029938446451447
states,44067,0.0012763471614461422
when,43739,0.0012668470396099759
many,43517,0.0012604170790989123
its,43464,0.001258881998436361
her,43447,0.0012583896140729012
about,43258,0.0012529154585026712
known,42582,0.0012333359391086215
world,41958,0.0012152625365910372
two,41941,0.0012147701522275773
called,41008,0.0011877469398094583
used,40878,0.001183981647618295
de,40875,0.0011838947562600372
all,40354,0.0011688046237092976
s,40281,0.001166690267325029
d,40083,0.0011609554376800263
7,39156,0.0011341060079784224
time,39156,0.0011341060079784224
county,39031,0.0011304855347176884
most,39002,0.0011296455849211982
10,37189,0.0010771342407475113
some,36969,0.0010707622078086193
made,36893,0.0010685609600660931
8,36482,0.0010566568439847994
national,34730,0.001005912290762351
more,33719,0.0009766299030295339
state,33308,0.0009647257869482402
into,33070,0.0009578324058598026
died,32832,0.0009509390247713649
january,32805,0.0009501570025470464
been,31966,0.0009258563860209994
9,31906,0.000924118558855847
movie,31057,0.0008995283044689413
2010,30344,0.0008788771249897142
part,30200,0.0008747063397933486
university,29958,0.0008676971035605674
march,29460,0.0008532731380898029
12,29051,0.0008414269495806812
years,28673,0.0008304786384402213
up,28451,0.0008240486779291577
only,28312,0.0008200227116632214
river,28259,0.0008184876310006701
11,28193,0.0008165760211190026
during,28061,0.0008127528013556674
south,28039,0.0008121155980617782
north,27578,0.000798763292676191
name,27479,0.0007958958778536896
december,27092,0.000784686892638457
year,26949,0.0007805450712281772
july,26933,0.0007800816506508033
because,26890,0.0007788362078491107
april,26699,0.0007733041247067091
june,26636,0.0007714794061832991
october,26507,0.0007677430777782216
september,26161,0.0007577216077925097
became,26064,0.00075491212054218
english,26051,0.0007545355913230637
i,26013,0.0007534349674518006
2007,25971,0.000752218488436194
war,25967,0.0007521026332918504
best,25759,0.000746078165785989
november,25735,0.000745383034919928
like,25729,0.0007452092522034128
august,25636,0.0007425156200974267
these,25373,0.0007348981443568422
than,24837,0.0007193735550148145
john,24443,0.0007079618232969808
2008,24438,0.0007078170043665514
league,24328,0.0007046309878971054
15,24283,0.0007033276175232412
over,24188,0.0007005760578450833
2012,24159,0.000699736108048593
2006,24127,0.0006988092668938451
player,23964,0.0006940881697618478
music,23847,0.0006906994067898008
team,23798,0.000689280181271593
no,23730,0.0006873106438177537
13,23693,0.0006862389837325764
between,23631,0.0006844432289952523
20,23617,0.0006840377359900501
president,23589,0.0006832267499796457
very,23379,0.0006771443549016125
rowspan,23327,0.0006756382380251471
february,23305,0.000675001034731258
14,23149,0.0006704826841018618
france,23118,0.0006695848067331998
york,23045,0.0006674704503489311
2009,23005,0.0006663118989054962
2011,22992,0.0006659353696863798
2005,22935,0.0006642844338794851
british,22477,0.0006510190198521555
p,22453,0.0006503238889860946
three,22283,0.0006454000453514963
series,22121,0.0006407079120055849
them,22114,0.0006405051655029838
16,22086,0.0006396941794925793
football,22014,0.0006376087868943966
then,21867,0.0006333511103397733
such,21660,0.0006273556066199977
actor,21644,0.0006268921860426238
000,21598,0.0006255598518826736
2014,21430,0.000620693935820247
where,21390,0.0006195353843768121
out,21374,0.0006190719637994382
played,21308,0.0006171603539177706
2004,21177,0.0006133660979405213
18,20910,0.0006056327670555934
19,20879,0.0006047348896869313
will,20785,0.0006020122937948593
found,20784,0.0006019833300087734
30,20539,0.0005948872024177347
u,20465,0.0005927438822473801
17,20461,0.0005926280271030366
later,20433,0.0005918170410926321
area,20376,0.0005901661052857374
c,20151,0.0005836492534164161
since,20119,0.0005827224122616682
so,20075,0.0005814480056738899
2017,19991,0.0005790150476426766
would,19930,0.0005772482566914383
district,19809,0.0005737436385750478
politician,19738,0.0005716872097629508
second,19607,0.0005678929537857015
group,19517,0.000565286213037973
2013,19449,0.0005633166755841337
french,19412,0.0005622450154989563
him,19296,0.0005588852163129951
official,19229,0.0005569446426452417
if,19225,0.0005568287875008982
la,19127,0.0005539903364644828
2003,19090,0.0005529186763793054
different,18816,0.0005449825989917764
25,18756,0.000543244771826624
